Sample ID,Lithology,Phase,Integrated,Error_I,,,,,,
IT24-MC-03,Ortho_Gneiss,Feldspar,74.29,0.31,,,,,,
IT24-MC-04,Quartz Monzonite,Feldspar,67.71,0.47,,,,,,
TET15144-550,Andesite,Feldspar,73.52,0.24,,,,,,
TET17370-35.5,Calc-Silicate Schist,Feldspar,67.40,0.53,,,,,,
IT24-MC-03,Ortho_Gneiss,Muscovite,93.23,0.32,,,,,,
TET21500-447.5,Quartz-Mica Schist,Muscovite,111.30,0.27,,,,,,
TET21500-618.5,Quartz-Mica Schist,Muscovite,111.77,0.30,,,,,,
TET24578-1042,Quartz-Mica Schist,Muscovite,116.97,0.27,,,,,,
TET24578-1272,Quartz-Mica Schist,Muscovite,109.96,0.19,,,,,,
IT24-MC-04,Quartz Monzonite,Biotite,72.27,0.41,,,,,,
IT24-MC-04,Quartz Monzonite,Hornblende,68.50,0.24,,,,,,
TET17370-35.5,Calc-Silicate Schist,Hornblende,107.27,1.22,,,,,,
TET17370-541.5,Skarn,Hornblende,69.61,1.03,,,,,,
TET21500-435.5,Skarn,Hornblende,68.92,0.28,,,,,,
TET24565-999.5,Skarn,Hornblende,68.70,0.24,,,,,,
TET24565-1008,Skarn,Hornblende,67.40,0.21,,,,,,
TET24579-463.3,Skarn,Hornblende,68.66,0.21,,,,,,
TET24579-694,Skarn,Hornblende,67.87,0.45,,,,,,
,,,,,,,,,,
,,,,,,,,,,
